Date,Time,t_s1,h_s1,t_s2,h_s2,wt_s1,wt_s2,wt_s3,ph_val,fan_state
2024/11/3,14:6:17,24.3,55.0,24.2,55.0,23.0,23.5,23.0,6.38,1
2024/11/3,14:12:17,24.2,55.0,24.1,55.0,23.0,23.5,23.5,6.45,1
2024/11/3,14:18:17,24.3,55.0,24.3,55.0,23.0,23.5,23.0,6.56,1
2024/11/3,14:24:17,24.5,55.0,24.4,56.0,23.0,23.5,23.0,6.64,1
2024/11/3,14:30:17,24.4,55.0,24.3,55.0,23.0,23.5,23.0,6.55,1
2024/11/3,14:36:17,24.6,54.0,24.5,55.0,23.0,23.5,23.0,6.67,1
2024/11/3,14:42:17,24.6,53.0,24.5,55.0,23.5,23.5,23.0,6.72,1
2024/11/3,14:48:17,24.7,54.0,24.6,55.0,23.5,23.5,23.0,6.67,1
2024/11/3,14:54:17,24.8,54.0,24.6,55.0,23.5,23.5,23.5,6.65,1
2024/11/3,15:0:17,24.5,54.0,24.4,56.0,23.5,23.5,23.5,6.68,1
2024/11/3,15:6:17,24.4,54.0,24.3,56.0,23.5,23.5,23.0,6.67,1
2024/11/3,15:12:17,24.6,55.0,24.5,57.0,23.5,23.5,23.0,6.69,1
2024/11/3,15:18:17,24.6,55.0,24.5,57.0,23.5,23.5,23.5,6.75,1
2024/11/3,15:24:17,24.5,56.0,24.4,57.0,23.5,23.5,23.5,6.77,1
2024/11/3,15:30:17,24.5,57.0,24.4,58.0,23.5,23.5,23.5,6.73,1
2024/11/3,15:36:17,24.5,57.0,24.4,58.0,23.5,23.5,23.5,6.72,1
2024/11/3,15:42:17,24.4,57.0,24.3,58.0,23.5,23.5,23.5,6.76,1
2024/11/3,15:48:17,24.4,58.0,24.3,59.0,23.5,23.5,23.5,6.69,1
2024/11/3,15:54:17,24.4,57.0,24.3,58.0,23.5,23.5,23.5,6.73,1
2024/11/3,16:0:17,24.4,57.0,24.2,59.0,23.5,23.5,23.5,6.75,1
2024/11/3,16:6:17,24.3,58.0,24.2,59.0,23.5,23.5,23.5,6.7,1
2024/11/3,16:12:17,24.4,59.0,24.2,60.0,23.5,23.5,23.5,6.78,1
2024/11/3,16:18:17,24.3,58.0,24.2,60.0,23.5,23.5,23.5,6.82,1
2024/11/3,16:24:17,24.3,57.0,24.1,59.0,23.5,23.5,23.5,6.71,1
2024/11/3,16:30:17,24.3,58.0,24.1,60.0,23.5,23.5,23.5,6.78,1
2024/11/3,16:36:17,24.4,59.0,24.1,60.0,23.5,23.5,23.5,6.73,1
2024/11/3,16:42:17,24.3,58.0,24.1,60.0,23.5,23.5,23.5,6.83,1
2024/11/3,16:48:17,24.3,59.0,24.0,60.0,23.5,23.5,23.5,6.73,1
2024/11/3,16:54:17,24.3,59.0,24.0,60.0,23.5,23.5,23.5,6.72,1
2024/11/3,17:0:17,24.3,58.0,24.0,59.0,23.5,23.5,23.5,6.77,1
2024/11/3,17:6:17,24.2,58.0,23.9,59.0,23.5,23.5,23.5,6.72,1
2024/11/3,17:12:17,24.1,57.0,23.8,58.0,23.5,23.5,23.5,6.74,1
2024/11/3,17:18:17,24.0,57.0,23.7,59.0,23.0,23.5,23.5,6.84,1
2024/11/3,17:24:17,24.0,59.0,23.9,60.0,23.5,23.5,23.5,5.48,1
2024/11/3,17:30:17,24.1,60.0,24.0,61.0,23.5,23.5,23.5,5.53,1
2024/11/3,17:36:17,24.2,60.0,24.0,62.0,23.5,23.5,23.5,5.55,1
2024/11/3,17:42:17,24.2,61.0,24.1,62.0,23.5,23.5,23.5,5.67,1
2024/11/3,17:48:17,24.3,61.0,24.1,63.0,23.5,23.5,23.5,5.64,1
2024/11/3,17:54:17,24.3,62.0,24.1,64.0,23.5,23.5,23.5,5.63,1
2024/11/3,18:0:17,24.3,62.0,24.2,64.0,23.5,23.5,23.5,5.73,1
2024/11/3,18:6:17,24.3,62.0,24.1,64.0,23.5,23.5,23.5,5.76,1
2024/11/3,18:12:17,24.3,63.0,24.1,65.0,23.5,23.5,23.5,5.72,1
2024/11/3,18:18:17,24.3,64.0,24.1,66.0,23.5,23.5,23.5,5.77,1
2024/11/3,18:24:17,24.3,64.0,24.1,66.0,23.5,23.5,23.5,5.74,1
2024/11/3,18:30:17,24.3,64.0,24.1,66.0,255.0,23.5,23.5,5.82,1
2024/11/3,18:36:18,24.3,64.0,24.1,66.0,23.5,23.5,23.5,5.86,1
2024/11/3,18:42:18,24.3,64.0,24.1,67.0,23.5,23.5,23.5,5.82,1
2024/11/3,18:48:18,24.3,64.0,24.1,67.0,23.5,23.5,23.5,5.86,1
2024/11/3,18:54:18,24.3,64.0,24.1,67.0,23.5,23.5,23.5,5.8,1
2024/11/3,19:0:18,24.3,65.0,24.1,67.0,23.5,23.5,23.5,5.88,1
2024/11/3,19:6:18,24.3,65.0,24.1,67.0,23.5,24.0,23.5,5.86,1
2024/11/3,19:12:18,24.3,65.0,24.1,67.0,23.5,24.0,23.5,5.79,1
2024/11/3,19:18:18,24.2,65.0,24.1,68.0,23.5,23.5,23.5,5.9,1
2024/11/3,19:24:18,24.2,65.0,24.1,68.0,23.5,24.0,23.5,5.91,1
2024/11/3,19:33:18,24.2,65.0,24.0,67.0,23.5,23.5,23.5,5.92,1
2024/11/3,19:39:18,24.2,65.0,24.0,68.0,23.5,24.0,23.5,5.8,1
2024/11/3,19:42:18,24.2,65.0,24.1,68.0,23.5,24.0,23.5,5.9,1
2024/11/3,19:51:18,24.2,65.0,24.0,68.0,23.5,24.0,23.5,5.9,1
2024/11/3,19:57:18,24.2,65.0,24.0,68.0,23.5,24.0,23.5,5.82,1
2024/11/3,20:3:18,24.2,66.0,24.0,68.0,23.5,24.0,23.5,5.84,1
2024/11/3,20:9:18,24.2,66.0,24.0,68.0,23.5,24.0,23.5,5.93,1
2024/11/3,20:15:18,24.2,66.0,24.0,68.0,23.5,24.0,23.5,5.87,1
2024/11/3,20:21:18,24.2,66.0,24.0,68.0,23.5,24.0,23.5,5.83,1
2024/11/3,20:27:18,24.2,65.0,24.0,68.0,23.5,24.0,23.5,5.84,1
2024/11/3,20:33:18,24.2,65.0,24.0,68.0,23.5,24.0,23.5,5.96,1
2024/11/3,20:39:18,24.2,65.0,24.0,68.0,23.5,24.0,23.5,5.96,1
2024/11/3,20:45:18,24.2,65.0,24.0,68.0,23.5,24.0,23.5,5.85,1
2024/11/3,20:51:18,24.4,65.0,24.2,68.0,23.5,24.0,23.5,5.86,1
2024/11/3,20:57:18,24.4,65.0,24.2,68.0,24.0,24.0,23.5,5.94,1
2024/11/3,21:3:18,24.4,65.0,24.2,68.0,24.0,24.0,23.5,5.97,1
2024/11/3,21:9:18,24.4,66.0,24.2,68.0,23.5,24.0,23.5,5.98,1
2024/11/3,21:12:18,24.4,66.0,24.2,69.0,24.0,24.0,23.5,5.91,1
2024/11/3,21:18:31,24.4,66.0,24.3,68.0,24.0,24.0,23.5,5.94,1
2024/11/3,21:24:31,24.4,66.0,24.2,69.0,24.0,24.0,23.5,5.96,1
2024/11/3,21:30:43,24.4,66.0,24.2,69.0,24.0,24.0,23.5,5.98,1
2024/11/3,21:36:43,24.4,66.0,24.2,70.0,24.0,24.0,23.5,5.96,1
2024/11/3,21:42:43,24.5,67.0,24.3,70.0,24.0,24.0,23.5,5.88,1
2024/11/3,21:48:43,24.5,67.0,24.3,70.0,24.0,24.0,24.0,5.89,1
2024/11/3,21:54:43,24.5,68.0,24.3,71.0,24.0,24.0,24.0,6.0,1
2024/11/3,22:0:43,24.5,68.0,24.3,71.0,24.0,24.0,24.0,5.98,1
2024/11/3,22:6:56,24.4,67.0,24.2,71.0,24.0,24.0,23.5,5.87,1
2024/11/3,22:12:56,24.4,67.0,24.2,70.0,24.0,24.0,24.0,5.88,1
2024/11/3,22:18:56,24.4,67.0,24.2,70.0,24.0,24.0,24.0,5.88,1
2024/11/3,22:24:56,24.4,67.0,24.3,70.0,24.0,24.0,24.0,5.89,1
2024/11/3,22:30:56,24.4,67.0,24.2,70.0,24.0,24.0,24.0,6.0,1
2024/11/3,22:36:56,24.4,67.0,24.2,70.0,24.0,24.0,24.0,5.88,1
2024/11/3,22:42:56,24.4,67.0,24.2,70.0,24.0,24.0,24.0,5.99,1
2024/11/3,22:48:56,24.4,67.0,24.2,70.0,24.0,24.0,24.0,5.89,1
2024/11/3,22:54:56,24.3,67.0,24.2,70.0,24.0,24.0,24.0,6.01,1
2024/11/3,23:0:56,24.4,67.0,24.2,69.0,24.0,24.0,24.0,5.99,1
2024/11/3,23:6:56,24.4,67.0,24.2,70.0,24.0,24.0,24.0,5.95,1
2024/11/3,23:12:56,24.4,67.0,24.2,70.0,24.0,24.0,24.0,6.01,1
2024/11/3,23:18:56,24.4,67.0,24.2,70.0,24.0,24.0,24.0,5.89,1
2024/11/3,23:24:56,24.4,67.0,24.2,70.0,24.0,24.0,24.0,5.91,1
2024/11/3,23:30:56,24.3,67.0,24.2,70.0,24.0,24.0,24.0,5.96,1
2024/11/3,23:36:56,24.4,67.0,24.2,70.0,24.0,24.0,24.0,6.03,1
2024/11/3,23:42:56,24.3,67.0,24.2,70.0,255.0,24.0,24.0,6.02,1
2024/11/3,23:48:56,24.3,67.0,24.1,70.0,24.0,24.0,24.0,6.0,1
2024/11/3,23:54:56,24.3,67.0,24.1,70.0,24.0,24.0,24.0,6.01,1
2024/11/4,0:0:56,24.3,67.0,24.1,70.0,24.0,24.0,24.0,6.01,1
2024/11/4,0:6:56,24.2,67.0,24.1,69.0,24.0,24.0,24.0,6.03,1
2024/11/4,0:12:56,24.2,66.0,24.1,69.0,24.0,24.0,24.0,5.9,1
2024/11/4,0:18:56,24.2,66.0,24.0,68.0,24.0,24.0,24.0,6.03,1
2024/11/4,0:24:56,24.2,66.0,24.0,68.0,24.0,24.0,24.0,6.03,1
2024/11/4,0:30:56,24.2,66.0,24.0,69.0,24.0,24.0,24.0,6.04,1
2024/11/4,0:33:56,24.2,66.0,24.1,69.0,24.0,24.0,24.0,6.04,1
2024/11/4,0:43:9,24.3,66.0,24.1,69.0,24.0,24.0,24.0,6.0,1
2024/11/4,0:49:9,24.3,66.0,24.1,69.0,24.0,24.0,24.0,5.92,1
2024/11/4,0:55:9,24.3,66.0,24.1,69.0,24.0,24.0,24.0,5.97,1
2024/11/4,1:1:9,24.2,66.0,24.1,69.0,24.0,24.0,24.0,5.94,1
2024/11/4,1:7:9,24.2,66.0,24.0,69.0,24.0,24.0,24.0,5.91,1
