Date,Time,t_s1,h_s1,t_s2,h_s2,wt_s1,wt_s2,wt_s3
10/12/2024,21:12:27,23.8,65,23.4,69,23,23,23
10/12/2024,21:18:27,23.9,65,23.4,69,23,23,23
10/12/2024,21:24:27,23.7,65,23.3,69,23,23,23
10/12/2024,21:30:27,23.8,65,23.4,69,23,23,23
10/12/2024,21:36:27,23.8,65,23.4,69,23,23,22.5
10/12/2024,21:42:27,23.8,65,23.4,70,23,23,22.5
10/12/2024,21:48:28,23.7,65,23.3,70,23,23,23
10/12/2024,21:54:28,23.7,65,23.3,70,23,23,23
10/12/2024,22:02:28,23.6,65,23.4,69,23,23,23
10/12/2024,22:07:27,23.7,65,23.3,69,23,23,22.5
10/12/2024,22:13:28,23.7,65,23.4,69,23,23,22.5
10/12/2024,22:18:27,23.6,65,23.2,69,23,23,22.5
10/12/2024,22:23:27,23.6,66,23.3,70,23,23,22.5
10/12/2024,22:28:27,23.6,67,23.3,69,23,23,22.5
10/12/2024,22:38:27,23.5,66,23.3,68,23,23,22.5
10/12/2024,22:43:27,23.5,66,23.2,68,23,23,22.5
10/12/2024,22:48:27,23.4,65,23.1,69,23,23,22.5
10/12/2024,22:53:27,23.4,66,23.1,69,23,23,23
10/12/2024,22:58:27,23.4,66,23.1,68,23,23,22.5
10/12/2024,23:08:27,23.3,66,23.1,69,23,23,22.5
10/12/2024,23:13:27,23.3,66,23,69,23,23,23
10/12/2024,23:18:27,23.3,66,23,68,23,23,22.5
10/12/2024,23:23:27,23.3,66,22.9,68,23,23,22.5
10/12/2024,23:28:27,23.3,66,22.9,68,23,23,22.5
10/12/2024,23:38:27,23.2,65,23,69,23,23,22.5
10/12/2024,23:43:27,23.2,66,23,68,23,23,22.5
10/12/2024,23:48:27,23.2,66,23,69,23,23,22.5
10/12/2024,23:53:27,23.2,66,22.9,69,23,23,22.5
10/12/2024,23:58:27,23.2,66,22.9,69,23,23,22.5
10/13/2024,0:08:27,23.1,66,22.9,69,23,23,22.5
10/13/2024,0:13:27,23.2,66,23,68,23,23,22.5
10/13/2024,0:18:27,23.2,66,23,69,23,23,22.5
10/13/2024,0:23:27,23.2,65,23,69,23,23,22.5
10/13/2024,0:28:27,23.2,65,23,69,23,23,22.5
10/13/2024,0:38:27,23.2,65,23,69,23,23,22.5
10/13/2024,0:43:27,23.2,65,23,68,23,23,22.5
10/13/2024,0:48:27,23.2,65,22.9,68,23,23,22.5
10/13/2024,0:53:28,23.2,65,22.9,68,23,23,22.5
10/13/2024,0:58:28,23.2,65,22.9,68,23,23,22.5
10/13/2024,1:08:28,23.2,65,22.9,68,23,23,22.5
10/13/2024,1:13:28,23.2,65,22.9,67,23,23,22.5
10/13/2024,1:18:28,23.1,65,22.9,67,23,23,22.5
10/13/2024,1:23:28,23.1,65,22.9,68,23,23,22.5
10/13/2024,1:28:28,23.1,65,22.9,68,23,23,22.5
10/13/2024,1:38:28,23.1,65,22.8,68,23,23,22.5
10/13/2024,1:43:28,23.1,65,22.9,67,23,23,22.5
10/13/2024,1:48:28,23.1,65,22.9,68,23,23,22.5
10/13/2024,1:53:28,23.1,66,22.9,67,23,23,22.5
10/13/2024,1:58:28,23.1,65,22.9,67,23,23,22.5
10/13/2024,2:08:28,23.1,65,22.9,67,23,23,22.5
10/13/2024,2:13:28,23.1,65,22.9,67,23,23,22.5
10/13/2024,2:18:28,23.1,65,22.9,67,23,23,22.5
10/13/2024,2:23:28,23.1,65,22.9,67,23,23,22.5
10/13/2024,2:28:28,23,65,22.8,67,23,23,22.5
10/13/2024,2:38:28,23,65,22.8,68,23,23,22.5
10/13/2024,2:43:28,23.1,65,22.8,67,23,23,22.5
10/13/2024,2:48:28,23.1,66,22.8,69,23,23,22.5
10/13/2024,2:53:28,23.1,66,22.8,67,23,22.5,22.5
10/13/2024,2:58:28,23,65,22.8,67,23,23,22.5
10/13/2024,3:08:28,23,65,22.8,68,23,22.5,22.5
10/13/2024,3:13:28,23,65,22.8,68,23,23,22.5
10/13/2024,3:18:28,23,66,22.8,68,23,23,22.5
10/13/2024,3:23:28,23,66,22.8,68,23,23,22.5
10/13/2024,3:28:28,23,66,22.8,68,23,23,22.5
10/13/2024,3:38:28,23,66,22.8,68,23,22.5,22.5
10/13/2024,3:43:28,22.9,65,22.7,68,23,22.5,22.5
