Date,Time,t_s1,h_s1,t_s2,h_s2,wt_s1,wt_s2,wt_s3,fan_state
2024/10/20,15:58:56,24.3,72.0,24.2,74.0,24.5,24.5,23.0,1
2024/10/20,16:4:56,24.3,72.0,24.2,74.0,24.5,24.5,23.0,1
2024/10/20,16:10:56,24.3,72.0,24.1,74.0,24.5,24.5,23.0,1
2024/10/20,16:16:56,24.3,72.0,24.1,74.0,24.5,24.5,23.0,1
2024/10/20,16:22:56,24.3,72.0,24.1,74.0,24.5,24.5,23.0,1
2024/10/20,16:28:56,24.3,72.0,24.1,74.0,24.5,24.5,23.0,1
2024/10/20,16:34:56,24.2,72.0,24.1,74.0,24.5,24.5,23.0,1
2024/10/20,16:40:56,24.2,72.0,24.1,74.0,24.5,24.5,23.0,1
2024/10/20,16:46:56,24.3,71.0,24.2,74.0,24.5,24.5,23.0,1
2024/10/20,16:52:56,24.3,71.0,24.1,74.0,24.5,24.5,23.0,1
2024/10/20,16:58:56,24.4,71.0,24.2,74.0,24.5,24.5,23.0,1
2024/10/20,17:4:56,24.4,71.0,24.2,74.0,24.5,24.5,23.0,1
2024/10/20,17:10:56,24.4,71.0,24.2,74.0,24.5,24.5,23.0,1
2024/10/20,17:16:56,24.3,71.0,24.1,74.0,24.5,24.5,23.0,1
2024/10/20,17:22:56,24.3,71.0,24.1,74.0,24.5,24.5,23.0,1
2024/10/20,17:28:56,24.3,71.0,24.1,74.0,24.5,24.5,23.0,1
2024/10/20,17:34:56,24.3,71.0,24.1,74.0,24.5,24.5,23.0,1
2024/10/20,17:40:56,24.3,71.0,24.1,74.0,24.5,24.5,23.0,1
2024/10/20,17:46:56,24.3,72.0,24.1,74.0,24.5,24.5,23.0,1
2024/10/20,17:52:57,24.3,72.0,24.1,74.0,24.5,24.5,23.0,1
2024/10/20,17:58:57,24.2,71.0,24.0,74.0,24.5,24.5,23.0,1
2024/10/20,18:4:57,24.2,71.0,24.0,73.0,24.5,24.5,23.0,1
2024/10/20,18:10:57,24.2,71.0,24.0,73.0,24.5,24.5,23.0,1
2024/10/20,18:16:57,24.2,71.0,24.1,73.0,24.5,24.5,23.0,1
2024/10/20,18:22:57,24.2,71.0,24.1,74.0,24.5,24.5,23.0,1
2024/10/20,18:28:57,24.3,71.0,24.1,74.0,24.5,24.5,23.0,1
2024/10/20,18:34:57,24.3,72.0,24.1,74.0,24.5,24.5,23.0,1
2024/10/20,18:40:57,24.3,72.0,24.1,74.0,24.5,24.5,23.0,1
2024/10/20,18:46:57,24.4,72.0,24.2,74.0,24.5,24.5,23.0,1
2024/10/20,18:52:57,24.4,72.0,24.2,74.0,24.5,24.5,23.0,1
2024/10/20,18:58:57,24.4,72.0,24.2,75.0,24.5,24.5,23.0,1
2024/10/20,19:4:57,24.5,73.0,24.2,75.0,24.5,24.5,23.0,1
2024/10/20,19:10:57,24.6,73.0,24.3,75.0,24.5,24.5,23.0,1
2024/10/20,19:16:57,24.6,73.0,24.3,75.0,24.5,24.5,23.0,1
2024/10/20,19:22:57,24.7,72.0,24.4,75.0,25.0,24.5,23.0,1
2024/10/20,19:28:57,24.7,73.0,24.4,75.0,25.0,24.5,23.0,1
2024/10/20,19:34:57,24.8,72.0,24.5,74.0,25.0,24.5,23.0,1
2024/10/20,19:40:57,24.6,72.0,24.4,74.0,25.0,24.5,23.0,1
2024/10/20,19:46:57,24.6,71.0,24.4,74.0,25.0,24.5,23.0,1
2024/10/20,19:52:57,24.6,71.0,24.3,74.0,25.0,24.5,23.0,1
2024/10/20,19:58:57,24.5,72.0,24.3,74.0,25.0,24.5,23.0,1
2024/10/20,20:4:57,24.5,72.0,24.2,74.0,25.0,24.5,23.0,1
2024/10/20,20:10:57,24.4,71.0,24.2,74.0,25.0,24.5,23.0,1
2024/10/20,20:16:57,24.4,72.0,24.2,74.0,25.0,24.5,23.0,1
2024/10/20,20:22:57,24.3,72.0,24.1,74.0,25.0,24.5,23.0,1
2024/10/20,20:28:57,24.3,71.0,24.1,74.0,25.0,24.5,23.0,1
2024/10/20,20:34:57,24.4,72.0,24.2,74.0,24.5,24.5,23.0,1
2024/10/20,20:40:57,24.4,72.0,24.2,74.0,24.5,24.5,23.0,1
2024/10/20,20:46:57,24.3,72.0,24.1,74.0,25.0,24.5,23.0,1
2024/10/20,20:52:57,24.3,72.0,24.1,74.0,24.5,24.5,23.0,1
2024/10/20,20:58:57,24.3,72.0,24.1,74.0,24.5,24.5,23.0,1
2024/10/20,21:4:57,24.2,72.0,24.0,74.0,24.5,24.5,23.0,1
2024/10/20,21:10:57,24.2,72.0,24.0,74.0,24.5,24.5,23.0,1
2024/10/20,21:16:57,24.1,72.0,23.9,74.0,24.5,24.5,23.0,1
2024/10/20,21:22:57,24.1,71.0,23.9,74.0,24.5,24.5,23.0,1
2024/10/20,21:28:57,24.2,72.0,24.0,74.0,24.5,24.5,23.0,1
