Date,Time,t_s1,h_s1,t_s2,h_s2,wt_s1,wt_s2,wt_s3,ph_val,fan_state
2024/10/23,12:25:54,23.3,56.0,23.1,58.0,22.5,22.5,22.0,9.13,0
2024/10/23,12:30:54,23.5,56.0,23.3,59.0,22.5,22.5,22.0,9.15,0
2024/10/23,12:35:54,23.4,55.0,23.2,56.0,22.5,22.5,22.0,9.16,0
2024/10/23,12:40:54,23.2,55.0,23.1,56.0,22.5,22.0,22.0,9.14,0
2024/10/23,12:45:54,23.4,56.0,23.2,57.0,22.5,22.0,22.0,9.15,0
2024/10/23,12:55:54,23.4,55.0,23.2,56.0,22.5,22.0,22.0,9.16,0
2024/10/23,13:0:54,23.5,55.0,23.2,58.0,22.5,22.0,22.0,9.18,0
2024/10/23,13:5:54,23.5,55.0,23.2,56.0,22.5,22.0,22.0,9.16,0
2024/10/23,13:13:54,23.6,54.0,23.2,57.0,22.5,22.0,22.0,9.21,1
2024/10/23,13:16:54,23.8,54.0,23.4,56.0,22.5,22.0,22.0,9.21,1
2024/10/23,13:23:19,23.7,53.0,23.4,56.0,22.5,22.0,22.0,9.2,1
2024/10/23,13:29:43,23.8,55.0,23.4,58.0,22.5,22.0,22.0,9.2,1
2024/10/23,13:32:43,23.8,55.0,23.4,57.0,22.5,22.0,22.0,9.4,1
2024/10/23,13:41:6,23.7,55.0,23.4,58.0,22.5,22.0,22.0,9.2,1
2024/10/23,13:47:6,23.7,54.0,23.2,57.0,22.5,22.0,22.0,9.2,0
2024/10/23,13:52:27,23.6,55.0,23.3,57.0,22.5,22.0,22.0,9.19,0
2024/10/23,13:57:27,23.7,56.0,23.3,58.0,22.5,22.0,22.0,9.19,1
2024/10/23,14:5:27,23.6,55.0,23.4,58.0,22.5,22.0,22.0,9.2,1
2024/10/23,14:11:27,23.8,55.0,23.6,58.0,22.5,22.0,22.0,9.2,1
2024/10/23,23:19:3,23.7,65.0,23.5,69.0,23.5,23.5,23.0,9.27,1
2024/10/23,23:25:3,23.6,65.0,23.0,70.0,23.5,23.5,23.0,9.26,1
2024/10/23,23:31:3,23.6,65.0,23.4,69.0,23.5,23.5,23.0,9.25,1
2024/10/23,23:37:3,23.8,65.0,23.4,70.0,23.5,23.5,23.0,9.25,1
2024/10/23,23:45:3,23.7,65.0,23.3,69.0,23.5,23.0,23.0,9.24,0
2024/10/23,23:48:3,23.6,65.0,23.3,68.0,23.5,23.5,23.0,9.24,1
2024/10/23,23:56:3,23.7,64.0,23.4,68.0,23.5,23.5,23.0,9.23,1
2024/10/24,0:1:3,23.6,65.0,23.3,69.0,23.5,23.5,23.0,9.23,0
2024/10/24,0:9:3,23.6,65.0,23.2,69.0,23.5,23.5,23.0,9.23,0
2024/10/24,0:14:3,23.6,65.0,23.4,69.0,23.5,23.0,23.0,9.22,0
2024/10/24,0:19:3,23.6,65.0,23.3,69.0,23.5,23.5,23.0,9.21,0
2024/10/24,0:24:3,23.5,66.0,23.3,69.0,23.5,23.5,23.0,9.22,0
2024/10/24,0:29:3,23.5,65.0,23.2,70.0,23.5,23.0,23.0,9.22,0
2024/10/24,0:39:3,23.3,67.0,23.3,70.0,23.5,23.0,23.0,9.24,0
2024/10/24,0:44:3,23.4,66.0,23.2,69.0,23.5,23.0,23.0,9.24,0
2024/10/24,0:49:3,23.5,66.0,23.2,69.0,23.5,23.5,23.0,9.22,0
2024/10/24,0:54:3,23.4,66.0,23.1,69.0,23.5,23.5,23.0,9.23,0
2024/10/24,0:59:3,23.4,66.0,23.2,70.0,23.5,23.0,23.0,9.23,0
2024/10/24,1:9:3,23.4,66.0,23.1,69.0,23.5,23.0,23.0,9.23,0
2024/10/24,1:14:3,23.4,66.0,23.1,70.0,23.5,23.0,23.0,9.24,0
2024/10/24,1:19:3,23.4,66.0,23.1,70.0,23.5,23.0,23.0,9.24,0
